GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assurance-service,com.neuroguard.assuranceservice.scheduler,RiskAssessmentScheduler,139,0,16,0,42,0,11,0,3,0
assurance-service,com.neuroguard.assuranceservice.controller,AssuranceController,269,0,2,0,62,0,15,0,14,0
assurance-service,com.neuroguard.assuranceservice.controller,AssuranceReportController,193,0,10,0,45,0,9,0,4,0
assurance-service,com.neuroguard.assuranceservice.controller,SimulationController,13,0,0,0,2,0,2,0,2,0
assurance-service,com.neuroguard.assuranceservice.config,JwtUtils,40,0,2,0,10,0,6,0,5,0
assurance-service,com.neuroguard.assuranceservice.config,FeignClientConfig,39,0,8,0,9,0,8,0,4,0
assurance-service,com.neuroguard.assuranceservice.config,SmsConfig,135,0,34,0,20,0,24,0,7,0
assurance-service,com.neuroguard.assuranceservice.config,EnvConfig,165,0,26,0,39,0,17,0,4,0
assurance-service,com.neuroguard.assuranceservice.config,MailConfig,163,0,32,0,24,0,19,0,3,0
assurance-service,com.neuroguard.assuranceservice.config,GlobalExceptionHandler,88,0,0,0,24,0,6,0,6,0
assurance-service,com.neuroguard.assuranceservice.config,JwtAuthenticationFilter,133,0,6,0,30,0,6,0,3,0
assurance-service,com.neuroguard.assuranceservice.config,SecurityConfig,77,0,0,0,14,0,4,0,4,0
assurance-service,com.neuroguard.assuranceservice.entity,Notification,4,0,0,0,2,0,1,0,1,0
assurance-service,com.neuroguard.assuranceservice.entity,AssuranceStatus,0,21,0,0,0,4,0,1,0,1
assurance-service,com.neuroguard.assuranceservice.entity,CoverageRiskAssessment,11,0,0,0,5,0,2,0,2,0
assurance-service,com.neuroguard.assuranceservice.entity,Assurance,4,0,0,0,2,0,1,0,1,0
assurance-service,com.neuroguard.assuranceservice.service,StatisticsService,47,781,23,31,6,163,22,27,0,22
assurance-service,com.neuroguard.assuranceservice.service,EmailNotificationService,289,0,20,0,65,0,17,0,6,0
assurance-service,com.neuroguard.assuranceservice.service,SmsNotificationService,245,0,20,0,58,0,15,0,5,0
assurance-service,com.neuroguard.assuranceservice.service,SimulationService,560,0,68,0,135,0,41,0,7,0
assurance-service,com.neuroguard.assuranceservice.service,PDFGenerationService,394,0,12,0,78,0,14,0,7,0
assurance-service,com.neuroguard.assuranceservice.service,NotificationServiceImpl,163,0,26,0,36,0,23,0,9,0
assurance-service,com.neuroguard.assuranceservice.service,CoverageRiskAssessmentService,1478,0,177,0,251,0,112,0,23,0
assurance-service,com.neuroguard.assuranceservice.service,AssuranceServiceImpl,197,403,20,4,44,95,13,18,1,17
assurance-service,com.neuroguard.assuranceservice.util,CoverageRiskAssessmentMapper,175,0,4,0,47,0,5,0,3,0
assurance-service,com.neuroguard.assuranceservice.dto,StatisticsDto,3,0,0,0,1,0,1,0,1,0
assurance-service,com.neuroguard.assuranceservice.dto,NotificationRequest,30,0,0,0,9,0,1,0,1,0
assurance-service,com.neuroguard.assuranceservice,AssuranceServiceApplication,8,0,0,0,3,0,2,0,2,0
